posted,neighborhood,post title,number bedrooms,sqft,price
2020-12-12 08:42:00,Downtown,665 Pine #703 - $0 Deposit Special - 6 Week Move-In Allowance!,1,NA,"$2,695"
2020-12-12 08:41:00,Presidio Heights,Stunning Golden Gate  Bridge  Views,3,2135,"$9,000"
2020-12-12 08:41:00,Western Addition,"$2395 --  One-bedroom NOPA - $1,000 off first month's rent",1,NA,"$2,395"
2020-12-12 08:41:00,San Francisco,4 bedroom~3bath,4,2135,"$8,500"
2020-12-12 08:41:00,Mission District,Mission/3440 20th & Capp/Muni/Bart/Balcony/Available Now!!,1,569,"$2,325"
2020-12-12 08:41:00,Mission District,Studio/Mission Dolores Park Views/240 Cumberland/Private Deck!!,1,NA,"$2,295"
2020-12-12 08:41:00,Pacific Heights,Modern Private Studio W/ Outside Access,NA,600,"$2,500"
2020-12-12 08:41:00,Marina,"1,000 sq ft must see corner one bedroom w/ bay view",1,1000,"$3,300"
2020-12-12 08:41:00,Pacific Heights,Private Garden Get-Away with One Bedroom,1,700,"$3,195"
2020-12-12 08:41:00,Marina,Bright Corner Top Floor 1000 sq ft 1 Bdrm W/ Parking & Views,1,1000,"$3,675"
2020-12-12 08:41:00,Marina,Sunny 2bd/2b condo with private deck & shared garden,2,1500,"$4,695"
2020-12-12 08:41:00,Marina,Amazingly redone Studios Off Chestnut with Views and Parking,NA,650,"$2,575"
2020-12-12 08:41:00,Marina,MOVE-IN SPECIAL!! In the heart of the Marina,1,NA,"$2,900"
2020-12-12 08:41:00,Pacific Heights,"Charming, large, loft-like Studio in Beautiful Victorian",1,700,"$2,200"
2020-12-12 08:40:00,Pacific Heights,Top Floor 2 rm Studio W/ Views of Bridge/Alcatraz & Parking,NA,700,"$2,650"
2020-12-12 08:40:00,Mission District,"Top Floor Mission Dolores Flat w/ dedicated  Deck , W/D , Parking Opt.",2,775,"$3,495"
2020-12-12 08:40:00,Marina,MOVE-IN SPECIAL! Remodeled Studio with Parking,NA,NA,"$1,950"
2020-12-12 08:40:00,Marina,Remodeled 2 Bedroom (Parking Included),2,NA,"$3,400"
2020-12-12 08:39:00,Bayview,Bright/Airy 2/2 Townhome attached 2 Car Garage At Shipyard in SF,2,1177,"$3,800"
2020-12-12 08:37:00,Inner Sunset,Beautiful 1BR Apt with GG park Views,1,580,"$2,500"
2020-12-12 08:36:00,Pacific Heights,Pacific Heights/1870 Pacific&Gough/W/D in unit/Amazing Views!!,2,796,"$3,895"
2020-12-12 08:36:00,Soma,Stunning Tri Level loft - over 1800 Sq Ft! ~ J.Wavro,2,NA,"$3,995"
2020-12-12 08:34:00,Quincy Ca.,RV Space For Rent Long Term,1,NA,$600
2020-12-12 08:34:00,Pacific Heights,1 MONTH FREE! Quiet Pacific Heights apt - in back of bldg! ~ J.Wavro,1,NA,"$2,650"
2020-12-12 08:33:00,North Beach,"Call for a Saturday appointment, just renovated",4,1800,"$5,950"
2020-12-12 08:33:00,Marina,Fully Remodeled balcony & parking - All new interior,1,800,"$3,300"
2020-12-12 08:33:00,Marina,Cow Hollow 1BR-1Bath w/Spectacular Bay Views.,1,NA,"$3,690"
2020-12-12 08:31:00,Russian Hill,1 MONTH FREE! Remodeled Russian Hill apt!  very QUIET ~ J.Wavro,1,NA,"$2,600"
2020-12-12 08:31:00,Hayes Valley,Hayes Valley/355 Fulton&Gough/W/D in unit/Available Now!!,1,408,"$1,995"
2020-12-12 08:31:00,Mission District,Mission/3474 17th&Guerrero/W/D in unit/Available Now!!,2,780,"$3,095"
2020-12-12 08:30:00,Noe Valley,STUNNING GUERRERO STREET VICTORIAN FLAT,2,1726,"$5,495"
2020-12-12 08:30:00,Castro,Duboce Triangle/106 Sanchez/Den/Office/W/D in unit/Available Now!!,2,771,"$3,095"
2020-12-12 08:29:00,Nob Hill,Remodeled Nob Hill Two Bedroom Two Bath with Fabulous Views  ~ J.Wavro,2,NA,"$6,995"
2020-12-12 08:29:00,Potrero Hill,"$ 3,850 Potrero Hill Apartment",2,900,"$3,850"
2020-12-12 08:29:00,Potrero Hill,"$3,000 Potrero Hill Apartment Furnished",1,800,"$3,000"
2020-12-12 08:28:00,Usf,Large North of the Panhandle 1BD/1B,1,NA,"$2,550"
2020-12-12 08:28:00,Financial District,Downtown High Rise 2Br/2Ba,2,NA,"$3,200"
2020-12-12 08:26:00,Pacific Heights,"PacHeights Gem, 2BR,1BA, Prime Location,Lafayette p",2,918,"$3,695"
2020-12-12 08:25:00,Soma,**NEWLY RENOVATED STUDIO with Great Floor Plan!**,NA,350,"$1,880"
2020-12-12 08:25:00,Mission District,Mission Dolores Park/3783 20th&Dolores/Remodeled/W/D in unit!,1,472,"$2,595"
2020-12-12 08:23:00,Mission District,MUST SEE!! Special Flat!  Private Patio & Yard/ Spectacular!,1,NA,"$3,000"
2020-12-12 08:23:00,Downtown,Large Rooftop Deck! Beautiful Condo! Parking Inc /WD in Unit/RentingSF,2,NA,"$2,495"
2020-12-12 08:22:00,Alamo Square,Serene NOPA One Bedroom Flat,1,750,"$3,050"
2020-12-12 08:21:00,Hayes Valley,Studio/Hayes Valley/300Buchanan&Haight/Available Now!,1,588,"$2,395"
2020-12-12 08:20:00,Ingleside,1 卧室 1 浴室 WALK to Balboa Bart Station/CCSF,1,NA,"$1,300"
2020-12-12 08:20:00,Inner Richmond,Renovated 2 Bedrooms Apt,2,1000,"$3,100"
2020-12-12 08:20:00,Hayes Valley,Hayes Valley/78 Buchanan /Great Views/W/D in unit/Available Now!!,2,1001,"$4,095"
2020-12-12 08:17:00,Lower Haight,Quiet 1 Bed Overlooking Yard ~ J.Wavro,1,NA,"$2,400"
2020-12-12 08:17:00,Inner Richmond,Turk/Arguello Apt.,2,NA,"$2,950"
2020-12-12 08:15:00,Twin Peaks,"Top Level Condo Pano Vus PrivDeck elevator,W/D,AEK,Parking",3,1740,"$4,875"
2020-12-12 08:15:00,Twin Peaks,Fabulous top floor apartment overlooking beautiful green space,1,700,"$1,998"
2020-12-12 08:15:00,Russian Hill,BEAUTIFUL / TOP FLOOR / 1 MONTH FREE / SECURE GARAGE PARKING /SPACIOUS,1,NA,"$2,895"
2020-12-12 08:15:00,Inner Mission,"ONE MONTH FREE, RENOVATED SPACIOUS 1650sf MURAL APARTMENT",4,1650,"$3,900"
2020-12-12 08:15:00,Lower Pac Hts,Full Flr 5-2 Condo - $6365,5,1600,"$6,365"
2020-12-12 08:14:00,Sunset,Exceptional Sunset home tastefully remodeled,3,1500,"$4,398"
2020-12-12 08:14:00,Alamo Square,Gorgeous top floor flat! Large backyard! Panhandle Park!,5,NA,"$5,995"
2020-12-12 08:14:00,Alamo Square,Nopa/322 Stanyan/Golden Gate Park/USF/Remodeled/Available Now!!,4,990,"$3,795"
